Benchmark,Average Score,Min Score,Max Score,Bad Pairs
human_eval_005.mlw,0.31323245223696794,0.07916481223347265,0.6786423426373269,"('8', '2') (0.5668865077143378); ('9', '4') (0.48615868473239443); ('9', '5') (0.49172186027520437); ('4', '5') (0.6786423426373269)"
human_eval_008.mlw,0.3208409708841867,0.18317107306770533,0.7729341162461129,"('3', '4') (0.7729341162461129); ('2', '8') (0.46656099982690624); ('7', '8') (0.41832763072037205)"
human_eval_009.mlw,0.26549388741826,0.07211007869678679,0.6500344803018949,"('3', '4') (0.6370164823903277); ('2', '5') (0.6500344803018949)"
human_eval_030.mlw,0.3312957628332026,0.15908086793477574,0.7773458684680878,"('6', '3') (0.45720828919364126); ('6', '8') (0.6927198915629021); ('10', '2') (0.7773458684680878); ('10', '9') (0.6569814044604783); ('4', '5') (0.7337482373731234); ('2', '9') (0.6855362832306646); ('3', '8') (0.44393660574542515)"
human_eval_031.mlw,0.4002213255716689,0.1413999762991827,0.8758164942246727,"('4', '1') (0.6263446910910575); ('4', '9') (0.6891947146341197); ('5', '2') (0.5425525354358431); ('5', '1') (0.4297444504761965); ('5', '10') (0.4910547313911014); ('5', '9') (0.4075739484134236); ('7', '2') (0.4175306230210482); ('7', '10') (0.449400923063764); ('7', '8') (0.6094373442926618); ('2', '3') (0.47650114666732385); ('2', '1') (0.46889981612173176); ('2', '10') (0.7543191925137511); ('2', '9') (0.4960532181889028); ('3', '10') (0.535905713282054); ('3', '8') (0.4164941689352041); ('1', '10') (0.4374196011134687); ('1', '9') (0.8758164942246727); ('10', '8') (0.4701544243683222); ('10', '9') (0.5114253261574462)"
human_eval_035.mlw,0.3030651703201279,0.05039628182889283,1.0,"('1', '6') (0.41660816929430744); ('1', '5') (0.47102029987078337); ('1', '10') (0.8340173763650595); ('3', '2') (0.8613999032417932); ('3', '9') (0.8613999032417932); ('2', '9') (1.0); ('6', '7') (0.4859588145828115); ('6', '4') (0.5595386934969492); ('5', '8') (0.6966296261707575)"
human_eval_042.mlw,0.30615171856448575,0.12395602913159522,0.7711910089987966,"('9', '7') (0.7711910089987966); ('9', '10') (0.46634866827244953); ('5', '4') (0.653870122121877); ('5', '6') (0.526062126610293); ('4', '6') (0.5336333115790051); ('7', '10') (0.46771100357431206)"
human_eval_052.mlw,0.3186945223988914,0.1800839704679781,0.6769547052714251,"('4', '9') (0.5348046831588071); ('3', '8') (0.6769547052714251)"
human_eval_053.mlw,0.2990021640155791,0.11175436374560282,0.5590787042969201,"('7', '6') (0.5590787042969201); ('10', '9') (0.45010922417879334); ('3', '8') (0.41110947021043814); ('3', '9') (0.5009722763841207)"
human_eval_057.mlw,0.25637012550140476,0.01570067920813096,0.8213992389324748,"('10', '1') (0.4454980104200761); ('10', '2') (0.8213992389324748); ('10', '6') (0.5236539325006516); ('1', '2') (0.43850824938475436); ('2', '6') (0.5872260559610631)"
human_eval_060.mlw,0.3187823075329559,0.15144474980385786,0.6387815305567225,"('9', '3') (0.5919736086013399); ('3', '4') (0.4342205133065588); ('3', '7') (0.4342205133065588); ('4', '7') (0.6387815305567225)"
human_eval_085.mlw,0.26944643469244306,0.04632170603625979,0.7912125472583348,"('9', '10') (0.5189659846272651); ('9', '6') (0.6218049950317163); ('9', '4') (0.47513366448702116); ('8', '3') (0.6486673218987106); ('1', '2') (0.5063281592711976); ('10', '6') (0.7912125472583348); ('10', '4') (0.430713441127087); ('2', '7') (0.468953930156804); ('6', '4') (0.5410344523724214); ('5', '4') (0.40146475036688306)"
human_eval_097.mlw,0.53516253040568,0.3063746294254326,1.0,"('1', '3') (0.7197011673485129); ('1', '2') (0.5300941549956611); ('1', '6') (0.5172661397103325); ('1', '7') (0.47898616051863835); ('1', '5') (0.7986429771008797); ('1', '4') (0.5651840631615823); ('1', '9') (0.6561708388671587); ('1', '8') (0.5300941549956611); ('1', '10') (0.6783786827769366); ('3', '6') (0.47495642126645904); ('3', '7') (0.4389924538760185); ('3', '5') (0.7188486614817682); ('3', '4') (0.5088701268172204); ('3', '9') (0.6604582085012866); ('3', '10') (0.639382729428819); ('2', '5') (0.4339665490063026); ('2', '8') (1.0); ('2', '10') (0.4018297163612977); ('6', '7') (0.7802818594780947); ('6', '5') (0.4809492439576286); ('6', '4') (0.876674268000092); ('6', '9') (0.513681159579864); ('6', '10') (0.5254145700970956); ('7', '5') (0.440502727825557); ('7', '4') (0.8323011054936039); ('7', '9') (0.4978449223449877); ('7', '10') (0.4865683802278387); ('5', '4') (0.5296482799632666); ('5', '9') (0.6788693643189829); ('5', '8') (0.4306329673619309); ('5', '10') (0.6534434987768792); ('4', '9') (0.5343811692100355); ('4', '10') (0.5463998647981867); ('9', '10') (0.6020578583647849); ('8', '10') (0.4018297163612977)"
human_eval_138.mlw,0.3059744105863361,0.15423677068042724,0.6775939999489281,"('10', '9') (0.4327746968366521); ('10', '1') (0.5013609589289009); ('8', '3') (0.6573137895054082); ('9', '1') (0.6775939999489281)"
human_eval_139.mlw,0.550815924923558,0.39363505741252375,0.8890768048633163,"('8', '10') (0.4261471492743796); ('8', '1') (0.4879164162098471); ('8', '5') (0.8730507447735949); ('10', '1') (0.5337361325759533); ('10', '4') (0.5351766129527692); ('10', '5') (0.42882401770389644); ('1', '4') (0.8890768048633163); ('1', '5') (0.5117722957654017); ('4', '5') (0.42882401770389644)"
human_eval_151.mlw,0.36881955622207957,0.06483911664898845,0.8749108943809665,"('3', '4') (0.8749108943809665); ('2', '1') (0.4910224924515598); ('2', '5') (0.5933911537315474); ('2', '6') (0.5505067696839407); ('2', '9') (0.7591769285131974); ('2', '8') (0.6415277289373225); ('1', '10') (0.4775018549614452); ('1', '5') (0.500931540704599); ('1', '7') (0.5405166376421079); ('1', '9') (0.48109772909788073); ('1', '8') (0.5419194020850451); ('10', '7') (0.5195771292593967); ('5', '6') (0.6116954897846876); ('5', '9') (0.6531260773187897); ('5', '8') (0.5399033900999458); ('6', '9') (0.5796411474551253); ('6', '8') (0.4666150780840901); ('9', '8') (0.5326187602436684)"
human_eval_152.mlw,0.37598793939029956,0.058251658415265126,1.0,"('2', '3') (0.7740167472471783); ('1', '4') (0.4336026259089687); ('1', '5') (0.5323766463988354); ('1', '7') (0.6806834235044332); ('1', '10') (1.0); ('1', '8') (1.0); ('1', '9') (0.533784474493614); ('4', '7') (0.4109129832880917); ('4', '6') (0.6306383412578674); ('4', '10') (0.43515631137368627); ('4', '8') (0.43515631137368627); ('5', '10') (0.4974546387674898); ('5', '8') (0.4974546387674898); ('5', '9') (0.5566756640111058); ('7', '10') (0.6802645146630956); ('7', '8') (0.6802645146630956); ('7', '9') (0.4335218907997519); ('10', '8') (1.0); ('10', '9') (0.533784474493614); ('8', '9') (0.533784474493614)"
human_eval_159.mlw,0.26044181600706545,0.26044181600706545,0.26044181600706545,No Similar Implementation
