Implementation,Complie,Error
human_eval_052_7.mlw,"[""unbound function or predicate symbol 'list_to_array'""]","unbound function or predicate symbol 'list_to_array'
"
human_eval_031_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_085_9.mlw,['Function Cons expects 2 arguments but is applied to 1'],"Function Cons expects 2 arguments but is applied to 1
"
human_eval_152_2.mlw,"[""unbound type symbol 'x'""]","unbound type symbol 'x'
"
human_eval_139_8.mlw,['Module Array not found in library int'],"Module Array not found in library int
"
human_eval_035_1.mlw,['syntax error'],"syntax error
"
human_eval_159_10.mlw,['syntax error'],"syntax error
"
human_eval_139_9.mlw,['syntax error'],"syntax error
"
human_eval_152_3.mlw,['syntax error'],"syntax error
"
human_eval_085_8.mlw,['syntax error'],"syntax error
"
human_eval_008_1.mlw,['syntax error'],"syntax error
"
human_eval_031_5.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_052_6.mlw,['syntax error'],"syntax error
"
human_eval_031_7.mlw,['syntax error'],"syntax error
"
human_eval_052_4.mlw,['syntax error'],"syntax error
"
human_eval_008_3.mlw,['Function Cons expects 2 arguments but is applied to 1'],"Function Cons expects 2 arguments but is applied to 1
"
human_eval_152_1.mlw,['syntax error'],"syntax error
"
human_eval_035_3.mlw,"[""unbound function or predicate symbol 'hd'""]","unbound function or predicate symbol 'hd'
"
human_eval_035_2.mlw,"[""unbound function or predicate symbol 'hd'""]","unbound function or predicate symbol 'hd'
"
human_eval_008_2.mlw,"[""unbound type symbol 's'""]","unbound type symbol 's'
"
human_eval_052_5.mlw,[],
human_eval_031_6.mlw,['syntax error'],"syntax error
"
human_eval_031_2.mlw,"[""unbound function or predicate symbol 'list'""]","unbound function or predicate symbol 'list'
"
human_eval_052_1.mlw,[],
human_eval_008_6.mlw,['Function Cons expects 2 arguments but is applied to 1'],"Function Cons expects 2 arguments but is applied to 1
"
human_eval_152_4.mlw,"[""unbound type symbol 'x'""]","unbound type symbol 'x'
"
human_eval_035_6.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_035_7.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_152_5.mlw,['syntax error'],"syntax error
"
human_eval_008_7.mlw,"[""unbound type symbol 's'""]","unbound type symbol 's'
"
human_eval_031_3.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_052_2.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_031_1.mlw,"['This expression has type int, it cannot be applied']","This expression has type int, it cannot be applied
"
human_eval_008_5.mlw,"['This expression has type list.List.list (int, list.List.list ([int], list.', ""List.list 'mu) -> list.List.list ([int], list.List.list 'mu)) -> list.List."", ""list (int, list.List.list ([int], list.List.list 'mu) -> list.List.list"", ""([int], list.List.list 'mu)), but is expected to have type list.List.list int""]","This expression has type list.List.list (int, list.List.list ([int], list.
List.list 'mu) -> list.List.list ([int], list.List.list 'mu)) -> list.List.
list (int, list.List.list ([int], list.List.list 'mu) -> list.List.list
([int], list.List.list 'mu)), but is expected to have type list.List.list int
"
human_eval_152_7.mlw,"[""unbound type symbol 'x'""]","unbound type symbol 'x'
"
