Implementation,Complie,Error
human_eval_052_7.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_031_4.mlw,"[""unbound function or predicate symbol '( * )'""]","unbound function or predicate symbol '( * )'
"
human_eval_085_9.mlw,['syntax error'],"syntax error
"
human_eval_152_2.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_139_8.mlw,[],
human_eval_035_1.mlw,['syntax error'],"syntax error
"
human_eval_159_10.mlw,['syntax error'],"syntax error
"
human_eval_139_9.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_152_3.mlw,['syntax error'],"syntax error
"
human_eval_085_8.mlw,['syntax error'],"syntax error
"
human_eval_008_1.mlw,['syntax error'],"syntax error
"
human_eval_031_5.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_052_6.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_031_7.mlw,['syntax error'],"syntax error
"
human_eval_052_4.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_008_3.mlw,"[""unbound type symbol 's'""]","unbound type symbol 's'
"
human_eval_152_1.mlw,['syntax error'],"syntax error
"
human_eval_035_3.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_035_2.mlw,"[""unbound function or predicate symbol 'fold'""]","unbound function or predicate symbol 'fold'
"
human_eval_008_2.mlw,['trying to open a module inside another module'],"trying to open a module inside another module
"
human_eval_052_5.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_031_6.mlw,['syntax error'],"syntax error
"
human_eval_031_2.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_052_1.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_008_6.mlw,['syntax error'],"syntax error
"
human_eval_152_4.mlw,['syntax error'],"syntax error
"
human_eval_035_6.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_035_7.mlw,['syntax error'],"syntax error
"
human_eval_152_5.mlw,['syntax error'],"syntax error
"
human_eval_008_7.mlw,['Module Reduce not found in library list'],"Module Reduce not found in library list
"
human_eval_031_3.mlw,['syntax error'],"syntax error
"
human_eval_052_2.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_031_1.mlw,"[""unbound function or predicate symbol '(<)'""]","unbound function or predicate symbol '(<)'
"
human_eval_008_5.mlw,['syntax error'],"syntax error
"
human_eval_152_7.mlw,['syntax error'],"syntax error
"
human_eval_035_5.mlw,['syntax error'],"syntax error
"
human_eval_057_10.mlw,['syntax error'],"syntax error
"
human_eval_035_4.mlw,['syntax error'],"syntax error
"
human_eval_152_6.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_008_4.mlw,['syntax error'],"syntax error
"
human_eval_052_3.mlw,"[""unbound type symbol 'list'""]","unbound type symbol 'list'
"
human_eval_138_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_3.mlw,['Module Fold not found in library list'],"Module Fold not found in library list
"
human_eval_151_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_030_7.mlw,['syntax error'],"syntax error
"
human_eval_053_4.mlw,['syntax error'],"syntax error
"
human_eval_053_5.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_151_2.mlw,['Function Cons expects 2 arguments but is applied to 1'],"Function Cons expects 2 arguments but is applied to 1
"
human_eval_030_6.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_097_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_2.mlw,['syntax error'],"syntax error
"
human_eval_057_1.mlw,['syntax error'],"syntax error
"
human_eval_159_9.mlw,"[""unbound function or predicate symbol '(>=)'""]","unbound function or predicate symbol '(>=)'
"
human_eval_060_8.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_138_8.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_057_3.mlw,['syntax error'],"syntax error
"
human_eval_030_10.mlw,['Module Filter not found in library list'],"Module Filter not found in library list
"
human_eval_097_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_7.mlw,"[""unbound function or predicate symbol 'ref'""]","unbound function or predicate symbol 'ref'
"
human_eval_053_10.mlw,"[""unbound function or predicate symbol 'add''""]","unbound function or predicate symbol 'add''
"
human_eval_030_4.mlw,['syntax error'],"syntax error
"
human_eval_030_5.mlw,['Module Fold not found in library list'],"Module Fold not found in library list
"
human_eval_151_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_6.mlw,"[""unbound function or predicate symbol 'List.init'""]","unbound function or predicate symbol 'List.init'
"
human_eval_097_2.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_009_1.mlw,['syntax error'],"syntax error
"
human_eval_057_2.mlw,['syntax error'],"syntax error
"
human_eval_138_9.mlw,['syntax error'],"syntax error
"
human_eval_060_9.mlw,['failure: many args for exec fun'],"failure: many args for exec fun
"
human_eval_159_8.mlw,['syntax error'],"syntax error
"
human_eval_151_10.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_057_6.mlw,['syntax error'],"syntax error
"
human_eval_009_5.mlw,['syntax error'],"syntax error
"
human_eval_097_6.mlw,"[""unbound function or predicate symbol 'string_of_int'""]","unbound function or predicate symbol 'string_of_int'
"
human_eval_053_2.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_151_5.mlw,['syntax error'],"syntax error
"
human_eval_030_1.mlw,"[""unbound function or predicate symbol '(>)'""]","unbound function or predicate symbol '(>)'
"
human_eval_005_8.mlw,['syntax error: Trying to open a module inside a module'],"syntax error: Trying to open a module inside a module
"
human_eval_151_4.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
