Implementation,Complie,Error
human_eval_031_4.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_152_2.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_035_1.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_152_3.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_008_1.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_031_5.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_052_4.mlw,[],
human_eval_008_3.mlw,"['This expression has type (int, int), but is expected to have type list.List.', 'list int']","This expression has type (int, int), but is expected to have type list.List.
list int
"
human_eval_152_1.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_035_3.mlw,"['=======================TestCases=====================', '', '    For the given implementation, some of testcases failed. Here are the list of failed testcases:', '    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)', 'for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)', ' ', '    Please revise the current implementation to fix the problem.']","=======================TestCases=====================

    For the given implementation, some of testcases failed. Here are the list of failed testcases:
    for input Cons ((Cons 7 (Cons 7 (Cons 3 (Cons 5 (Cons 7 (Cons 2 (Cons 7 (Cons 1 (Cons 7 (Nil)))))))))); the output we obtained with current implementation is 7; but the expected output is 7)
for input Cons ((Cons 0 (Cons (-10) (Cons 10 (Cons (-10) (Cons 0 (Nil)))))); the output we obtained with current implementation is 10; but the expected output is 10)
 
    Please revise the current implementation to fix the problem.
"
human_eval_035_2.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_008_2.mlw,['Logical symbol nth is used in a non-ghost context'],"Logical symbol nth is used in a non-ghost context
"
human_eval_052_5.mlw,[],
human_eval_031_2.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_052_1.mlw,"[""unbound function or predicate symbol 'nth_1'""]","unbound function or predicate symbol 'nth_1'
"
human_eval_152_4.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_152_5.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_031_3.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_052_2.mlw,"[""unbound function or predicate symbol 'nth_1'""]","unbound function or predicate symbol 'nth_1'
"
human_eval_031_1.mlw,"[""unbound function or predicate symbol '(/)'""]","unbound function or predicate symbol '(/)'
"
human_eval_008_5.mlw,"[""unbound function or predicate symbol 'fold'""]","unbound function or predicate symbol 'fold'
"
human_eval_035_5.mlw,"[""unbound function or predicate symbol 'length'""]","unbound function or predicate symbol 'length'
"
human_eval_035_4.mlw,"['This expression has type int -> int, but is expected to have type int']","This expression has type int -> int, but is expected to have type int
"
human_eval_008_4.mlw,"['This expression has type (int, int), but is expected to have type list.List.', 'list int']","This expression has type (int, int), but is expected to have type list.List.
list int
"
human_eval_052_3.mlw,[],
