filename,description,function name,module name,signature,pre-condition,post-condition
human_eval_003.mlw,"def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""",below_zero,HumanEval003,below_zero(operations: list int) : bool,,
human_eval_005.mlw,"def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    """""" Insert a number 'delimiter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""",intersperse,HumanEval005,intersperse (l : list int) (n : int) : int,,"        ensures { length l <= 1 -> length result = length l /\ forall x. mem x l -> mem x result}
        ensures { length l > 1 -> 
            length result = 2 * length l - 1 /\
            forall i: int. 0 <= i < length result ->
            if mod i 2 = 0 then nth i result = nth (div i 2) l
            else nth i result = n
        }"
human_eval_008.mlw,"def sum_product(numbers: List[int]) -> list [int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    [0, 1]
    >>> sum_product([1, 2, 3, 4])
    [10, 24]
    """"""",sum_product,HumanEval008,sum_product (l : list int) : list int,,"predicate product (l : list int) (q : int)
    axiom product_base: forall l'. length l' = 0 <-> product l' 1
    axiom product_rec : forall x', l', q'. product (Cons x' l') (q'*x') <-> product l' (q')

ensures { nth 0 result = sum l }
ensures { product l (nth 1 result) }"
human_eval_009.mlw,"def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence. Assume that all values in the given list is larger than -1000
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""",rolling_max,HumanEval009,rolling_max (l : list int) : list int,,"ensures { forall i . 0 <= i < length l -> nth i result >= nth i l }
        ensures { forall i . 0 <= i < length l -> exists j. 0 <= j <= i /\ nth i result = nth j l }"
human_eval_013.mlw,"def greatest_common_divisor(a: int, b: int) : int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""",greatest_common_divisor,HumanEval013,"greatest_common_divisor(a: int, b: int) : int",,"ensures { forall d . (mod d a = 0 /\ mod d b = 0) -> mod d result = 0 }
        ensures { mod result a = 0 /\ mod result b = 0 }
        ensures { result >= 1 }"
human_eval_020.mlw,"def find_closest_elements(numbers: int list) : int list :
    """""" From a supplied list of numbers (of length at least two) select and return two that are the closest to each
    other and return them in order (smaller number, larger number).
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    [2.0, 2.2]
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    [2.0, 2.0]
    """"""",find_closest_elements,HumanEval020,find_closest_elements(numbers: int list) : int list,requires { length l >= 2 },"ensures { length result = 2 }
        ensures { forall x, y . (mem x l /\ mem y l) -> abs (x-y) <= abs (nth 0 result - nth 1 result) }"
human_eval_030.mlw,"def get_positive(l: list):
    """"""Return only positive numbers in the list.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""",get_positive,HumanEval030,get_positive (l : list int) : list int,,"ensures { length l >= length result }
        ensures { forall x . (mem x l /\ x > 0) -> mem x result }
        ensures { forall x . mem x result -> x > 0 }"
human_eval_031.mlw,"def is_prime(n):
    """"""Return true if a given number is prime, and false otherwise.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""",is_prime,HumanEval031,is_prime (n : int) : bool,,ensures { result <-> (n >= 2 /\ forall d: int. 2 <= d /\ d < n -> not (mod n d = 0)) }
human_eval_035.mlw,"def max_element(l: list):
    """"""Return maximum element in the list.
    >>> max_element([1, 2, 3])
    3
    >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    123
    """""" ",max_element,HumanEval035,max_element (t : list int) : int,requires { length t > 0 },"ensures { forall j. 0 <= j < length t -> result >= nth j t }
    ensures { exists j. 0 <= j < length t /\ result = nth j t } "
human_eval_042.mlw,"def incr_list(l: list):
    """"""Return list with elements incremented by 1.
    >>> incr_list([1, 2, 3])
    [2, 3, 4]
    >>> incr_list([5, 3, 5, 2, 3, 3, 9, 0, 123])
    [6, 4, 6, 3, 4, 4, 10, 1, 124]
    """"""",incr_list,HumanEval042,incr_list (l : list int) : list int,," ensures { forall i. 0 <= i < length l -> (nth i l) + 1 = (nth i result) }
        ensures { length result = length l }"
